# HD23 astrodust PAH, neutral: the DL07 absorption cross sections (not Mie)
# a_eff stride: every 1 of 169
# lambda stride: every 1 of 1762
# Written by sed/make_qtable.x from this tree's own optics
#   routines; see src/make_qtable.f90 for the grids and inputs.
#   lambda[um]     a_eff[um]      Q_abs
  1.016230E-004  1.189000E-001  4.903831E-005
  1.016230E-004  1.259000E-001  5.192526E-005
  1.016230E-004  1.333000E-001  5.497717E-005
  1.016230E-004  1.412000E-001  5.823527E-005
  1.016230E-004  1.496000E-001  6.169958E-005
  1.016230E-004  1.585000E-001  6.537007E-005
  1.016230E-004  1.679000E-001  6.924676E-005
  1.016230E-004  1.778000E-001  7.332963E-005
  1.016230E-004  1.884000E-001  7.770117E-005
  1.016230E-004  1.995000E-001  8.227890E-005
  1.016230E-004  2.113000E-001  8.714528E-005
  1.016230E-004  2.239000E-001  9.234156E-005
  1.016230E-004  2.371000E-001  9.778524E-005
  1.016230E-004  2.512000E-001  1.036001E-004
  1.016230E-004  2.661000E-001  1.097447E-004
  1.016230E-004  2.818000E-001  1.162193E-004
  1.016230E-004  2.985000E-001  1.231062E-004
  1.016230E-004  3.162000E-001  1.304054E-004
  1.016230E-004  3.350000E-001  1.381582E-004
  1.016230E-004  3.548000E-001  1.463233E-004
  1.016230E-004  3.758000E-001  1.549832E-004
  1.016230E-004  3.981000E-001  1.641790E-004
  1.016230E-004  4.217000E-001  1.739109E-004
  1.016230E-004  4.467000E-001  1.842199E-004
  1.016230E-004  4.732000E-001  1.951474E-004
  1.016230E-004  5.012000E-001  2.066932E-004
  1.016230E-004  5.309000E-001  2.189399E-004
  1.016230E-004  5.623000E-001  2.318874E-004
  1.016230E-004  5.957000E-001  2.456593E-004
  1.016230E-004  6.310000E-001  2.602145E-004
  1.016230E-004  6.683000E-001  2.755940E-004
  1.016230E-004  7.079000E-001  2.919216E-004
  1.016230E-004  7.499000E-001  3.092384E-004
  1.016230E-004  7.943000E-001  3.275444E-004
