# ZDA BARE-GR-S graphite: Mie on the D03 graphite dielectric functions, 1/3 E||c + 2/3 E-perp-c, free-electron term per radius
# a_eff stride: every 1 of 121
# lambda stride: every 1 of 865
# Written by sed/make_qtable.x from this tree's own optics
#   routines; see src/make_qtable.f90 for the grids and inputs.
# density [g/cm^3]:  2.240000E+00
#   lambda[um]     a_eff[um]      Q_ext         Q_abs          Q_sca         albedo         g
  9.120110E-002  1.531650E-002  2.956743E+000  1.848883E+000  1.107860E+000  3.746894E-001  1.846002E-001
  9.120110E-002  1.700490E-002  2.973817E+000  1.772814E+000  1.201003E+000  4.038592E-001  2.442359E-001
  9.120110E-002  1.887950E-002  2.979667E+000  1.718871E+000  1.260796E+000  4.231333E-001  3.196811E-001
  9.120110E-002  2.096060E-002  3.000927E+000  1.692538E+000  1.308390E+000  4.359951E-001  4.057826E-001
  9.120110E-002  2.327120E-002  3.035053E+000  1.672131E+000  1.362921E+000  4.490602E-001  4.863979E-001
  9.120110E-002  2.583650E-002  3.049834E+000  1.627789E+000  1.422044E+000  4.662694E-001  5.435271E-001
  9.120110E-002  2.868460E-002  3.026893E+000  1.561538E+000  1.465354E+000  4.841118E-001  5.777245E-001
  9.120110E-002  3.184660E-002  2.992546E+000  1.505436E+000  1.487110E+000  4.969382E-001  6.063847E-001
  9.120110E-002  3.535720E-002  2.971503E+000  1.466546E+000  1.504957E+000  5.064631E-001  6.388015E-001
  9.120110E-002  3.925480E-002  2.943983E+000  1.418566E+000  1.525416E+000  5.181472E-001  6.653457E-001
  9.120110E-002  4.358200E-002  2.902149E+000  1.366016E+000  1.536133E+000  5.293088E-001  6.828608E-001
  9.120110E-002  4.838630E-002  2.867345E+000  1.325226E+000  1.542119E+000  5.378211E-001  7.004428E-001
  9.120110E-002  5.372010E-002  2.828733E+000  1.280392E+000  1.548341E+000  5.473621E-001  7.150302E-001
  9.120110E-002  5.964200E-002  2.788964E+000  1.239559E+000  1.549405E+000  5.555487E-001  7.263906E-001
  9.120110E-002  6.621660E-002  2.750599E+000  1.200372E+000  1.550227E+000  5.635963E-001  7.368158E-001
  9.120110E-002  7.351590E-002  2.711918E+000  1.163573E+000  1.548345E+000  5.709408E-001  7.450378E-001
  9.120110E-002  8.161990E-002  2.673966E+000  1.128137E+000  1.545829E+000  5.781036E-001  7.521821E-001
  9.120110E-002  9.061730E-002  2.637448E+000  1.095443E+000  1.542005E+000  5.846581E-001  7.581934E-001
  9.120110E-002  1.006060E-001  2.601703E+000  1.064351E+000  1.537352E+000  5.909023E-001  7.631600E-001
  9.120110E-002  1.116970E-001  2.567202E+000  1.035063E+000  1.532139E+000  5.968128E-001  7.673538E-001
  9.120110E-002  1.240100E-001  2.534080E+000  1.007634E+000  1.526446E+000  6.023669E-001  7.708710E-001
  9.120110E-002  1.376800E-001  2.502339E+000  9.819458E-001  1.520394E+000  6.075889E-001  7.738009E-001
  9.120110E-002  1.528570E-001  2.471994E+000  9.578979E-001  1.514096E+000  6.124999E-001  7.762317E-001
  9.120110E-002  1.697070E-001  2.443045E+000  9.353997E-001  1.507646E+000  6.171173E-001  7.782375E-001
  9.120110E-002  1.884140E-001  2.415490E+000  9.143788E-001  1.501111E+000  6.214520E-001  7.798783E-001
  9.120110E-002  2.091840E-001  2.389328E+000  8.947740E-001  1.494554E+000  6.255122E-001  7.812099E-001
  9.120110E-002  2.322440E-001  2.364521E+000  8.764957E-001  1.488026E+000  6.293137E-001  7.822770E-001
  9.120110E-002  2.578450E-001  2.341047E+000  8.594793E-001  1.481568E+000  6.328655E-001  7.831183E-001
  9.120110E-002  2.862680E-001  2.318866E+000  8.436533E-001  1.475213E+000  6.361785E-001  7.837670E-001
  9.120110E-002  3.178250E-001  2.297937E+000  8.289498E-001  1.468987E+000  6.392635E-001  7.842514E-001
  9.120110E-002  3.528600E-001  2.278217E+000  8.153044E-001  1.462912E+000  6.421304E-001  7.845962E-001
  9.120110E-002  3.917580E-001  2.259659E+000  8.026545E-001  1.457004E+000  6.447895E-001  7.848223E-001
  9.120110E-002  4.349430E-001  2.242217E+000  7.909407E-001  1.451276E+000  6.472506E-001  7.849479E-001
  9.120110E-002  4.828890E-001  2.225841E+000  7.801052E-001  1.445736E+000  6.495235E-001  7.849889E-001
  9.120110E-002  5.361200E-001  2.210484E+000  7.700931E-001  1.440391E+000  6.516179E-001  7.849588E-001
  9.120110E-002  5.952190E-001  2.196096E+000  7.608515E-001  1.435244E+000  6.535436E-001  7.848693E-001
  9.120110E-002  6.608330E-001  2.182628E+000  7.523302E-001  1.430298E+000  6.553099E-001  7.847305E-001
  9.120110E-002  7.336790E-001  2.170033E+000  7.444812E-001  1.425551E+000  6.569263E-001  7.845514E-001
  9.120110E-002  8.145560E-001  2.158262E+000  7.372585E-001  1.421004E+000  6.584018E-001  7.843394E-001
  9.120110E-002  9.043480E-001  2.147272E+000  7.306187E-001  1.416653E+000  6.597456E-001  7.841011E-001
  9.120110E-002  1.004040E+000  2.137016E+000  7.245203E-001  1.412495E+000  6.609663E-001  7.838422E-001
  9.120110E-002  1.114720E+000  2.127451E+000  7.189246E-001  1.408526E+000  6.620723E-001  7.835676E-001
  9.120110E-002  1.237600E+000  2.118536E+000  7.137944E-001  1.404742E+000  6.630719E-001  7.832815E-001
  9.120110E-002  1.374030E+000  2.110231E+000  7.090948E-001  1.401137E+000  6.639730E-001  7.829875E-001
  9.120110E-002  1.525490E+000  2.102499E+000  7.047933E-001  1.397705E+000  6.647830E-001  7.826886E-001
  9.120110E-002  1.693650E+000  2.095301E+000  7.008589E-001  1.394442E+000  6.655091E-001  7.823875E-001
  9.120110E-002  1.880350E+000  2.088603E+000  6.972628E-001  1.391340E+000  6.661583E-001  7.820864E-001
  9.120110E-002  2.087630E+000  2.082373E+000  6.939782E-001  1.388395E+000  6.667368E-001  7.817873E-001
  9.120110E-002  2.317760E+000  2.076579E+000  6.909798E-001  1.385599E+000  6.672509E-001  7.814916E-001
  9.120110E-002  2.573260E+000  2.071192E+000  6.882444E-001  1.382948E+000  6.677061E-001  7.812007E-001
  9.120110E-002  2.856920E+000  2.066185E+000  6.857503E-001  1.380434E+000  6.681079E-001  7.809158E-001
  9.120110E-002  3.171850E+000  2.061530E+000  6.834773E-001  1.378053E+000  6.684612E-001  7.806375E-001
  9.120110E-002  3.521500E+000  2.057205E+000  6.814067E-001  1.375798E+000  6.687706E-001  7.803668E-001
  9.120110E-002  3.909690E+000  2.053185E+000  6.795214E-001  1.373664E+000  6.690404E-001  7.801040E-001
  9.120110E-002  4.340670E+000  2.049450E+000  6.778055E-001  1.371645E+000  6.692744E-001  7.798497E-001
  9.120110E-002  4.819170E+000  2.045979E+000  6.762444E-001  1.369735E+000  6.694765E-001  7.796040E-001
  9.120110E-002  5.350410E+000  2.042755E+000  6.748245E-001  1.367930E+000  6.696498E-001  7.793673E-001
  9.120110E-002  5.940210E+000  2.039758E+000  6.735336E-001  1.366225E+000  6.697974E-001  7.791396E-001
  9.120110E-002  6.595020E+000  2.036974E+000  6.723603E-001  1.364614E+000  6.699221E-001  7.789210E-001
  9.120110E-002  7.322020E+000  2.034387E+000  6.712941E-001  1.363093E+000  6.700264E-001  7.787115E-001
  9.120110E-002  8.129160E+000  2.031983E+000  6.703256E-001  1.361658E+000  6.701127E-001  7.785109E-001
  9.120110E-002  9.025280E+000  2.029749E+000  6.694460E-001  1.360303E+000  6.701829E-001  7.783191E-001
  9.120110E-002  1.002020E+001  2.027673E+000  6.686474E-001  1.359026E+000  6.702391E-001  7.781361E-001
  9.120110E-002  1.112470E+001  2.025744E+000  6.679224E-001  1.357822E+000  6.702829E-001  7.779616E-001
  9.120110E-002  1.235110E+001  2.023951E+000  6.672644E-001  1.356686E+000  6.703159E-001  7.777953E-001
  9.120110E-002  1.371260E+001  2.022284E+000  6.666674E-001  1.355616E+000  6.703393E-001  7.776372E-001
  9.120110E-002  1.522420E+001  2.020734E+000  6.661258E-001  1.354609E+000  6.703546E-001  7.774868E-001
  9.120110E-002  1.690240E+001  2.019294E+000  6.656346E-001  1.353659E+000  6.703627E-001  7.773441E-001
  9.120110E-002  1.876570E+001  2.017955E+000  6.651890E-001  1.352766E+000  6.703648E-001  7.772086E-001
  9.120110E-002  2.083430E+001  2.016710E+000  6.647850E-001  1.351925E+000  6.703615E-001  7.770801E-001
  9.120110E-002  2.313100E+001  2.015552E+000  6.644188E-001  1.351133E+000  6.703539E-001  7.769585E-001
  9.120110E-002  2.568080E+001  2.014475E+000  6.640869E-001  1.350388E+000  6.703425E-001  7.768433E-001
  9.120110E-002  2.851170E+001  2.013474E+000  6.637860E-001  1.349688E+000  6.703279E-001  7.767343E-001
  9.120110E-002  3.165470E+001  2.012542E+000  6.635134E-001  1.349029E+000  6.703108E-001  7.766312E-001
  9.120110E-002  3.514410E+001  2.011676E+000  6.632664E-001  1.348410E+000  6.702916E-001  7.765339E-001
  9.120110E-002  3.901820E+001  2.010870E+000  6.630427E-001  1.347828E+000  6.702708E-001  7.764419E-001
  9.120110E-002  4.331940E+001  2.010121E+000  6.628400E-001  1.347281E+000  6.702486E-001  7.763551E-001
  9.120110E-002  4.809470E+001  2.009423E+000  6.626565E-001  1.346767E+000  6.702255E-001  7.762732E-001
  9.120110E-002  5.339640E+001  2.008774E+000  6.624903E-001  1.346284E+000  6.702017E-001  7.761960E-001
  9.120110E-002  5.928250E+001  2.008170E+000  6.623398E-001  1.345831E+000  6.701775E-001  7.761233E-001
  9.120110E-002  6.581750E+001  2.007609E+000  6.622036E-001  1.345405E+000  6.701530E-001  7.760547E-001
  9.120110E-002  7.307280E+001  2.007086E+000  6.620803E-001  1.345005E+000  6.701285E-001  7.759902E-001
