# lambda[um]  lamI_lam_total  lamI_lam_astrodust  lamI_lam_pah
  1.71800E+000   2.16226E-027   3.55966E-029   2.12667E-027
  1.73800E+000   2.21896E-027   3.67492E-029   2.18221E-027
  1.75800E+000   2.27403E-027   3.79118E-029   2.23612E-027
  1.77800E+000   2.32628E-027   3.90934E-029   2.28718E-027
  1.79900E+000   2.37500E-027   4.03466E-029   2.33465E-027
  1.82000E+000   2.41810E-027   4.16171E-029   2.37649E-027
  1.84100E+000   2.45132E-027   4.29050E-029   2.40842E-027
  1.86200E+000   2.47749E-027   4.42095E-029   2.43328E-027
  1.88400E+000   2.50618E-027   4.55971E-029   2.46058E-027
  1.90600E+000   2.55241E-027   4.70001E-029   2.50541E-027
  1.92800E+000   2.62877E-027   4.84288E-029   2.58034E-027
  1.95000E+000   2.72816E-027   4.98767E-029   2.67828E-027
  1.97200E+000   2.83323E-027   5.13417E-029   2.78188E-027
  1.99500E+000   2.94030E-027   5.28943E-029   2.88741E-027
  2.01800E+000   3.04086E-027   5.44665E-029   2.98639E-027
  2.04200E+000   3.13962E-027   5.61312E-029   3.08349E-027
  2.06500E+000   3.22701E-027   5.77432E-029   3.16926E-027
  2.08900E+000   3.31476E-027   5.94399E-029   3.25532E-027
  2.11400E+000   3.40314E-027   6.12229E-029   3.34191E-027
  2.13800E+000   3.48423E-027   6.29406E-029   3.42129E-027
  2.16300E+000   3.56705E-027   6.47456E-029   3.50230E-027
  2.18800E+000   3.64927E-027   6.65408E-029   3.58273E-027
  2.21300E+000   3.72718E-027   6.83545E-029   3.65883E-027
  2.23900E+000   3.80767E-027   7.02277E-029   3.73745E-027
  2.26500E+000   3.88676E-027   7.21076E-029   3.81465E-027
  2.29100E+000   3.96558E-027   7.39906E-029   3.89159E-027
  2.31700E+000   4.04159E-027   7.58712E-029   3.96572E-027
  2.34400E+000   4.11776E-027   7.78110E-029   4.03995E-027
  2.37100E+000   4.19700E-027   7.98180E-029   4.11718E-027
