# lambda[um]  lamI_lam_total  lamI_lam_astrodust  lamI_lam_pah
  9.55000E+000   2.60593E-026   6.36951E-028   2.54223E-026
  9.66000E+000   2.54506E-026   6.50433E-028   2.48002E-026
  9.77200E+000   2.51040E-026   6.56666E-028   2.44473E-026
  9.88500E+000   2.49903E-026   6.55524E-028   2.43348E-026
  1.00000E+001   2.51004E-026   6.47302E-028   2.44531E-026
  1.01200E+001   2.54659E-026   6.32092E-028   2.48338E-026
  1.02300E+001   2.60597E-026   6.14674E-028   2.54451E-026
  1.03500E+001   2.70732E-026   5.94954E-028   2.64782E-026
  1.04700E+001   2.86496E-026   5.76188E-028   2.80734E-026
  1.05900E+001   3.12469E-026   5.58311E-028   3.06886E-026
  1.07200E+001   3.54407E-026   5.39753E-028   3.49009E-026
  1.08400E+001   4.11932E-026   5.23036E-028   4.06702E-026
  1.09700E+001   5.48402E-026   5.04699E-028   5.43355E-026
  1.10900E+001   8.79287E-026   4.87147E-028   8.74416E-026
  1.12200E+001   2.19147E-025   4.66712E-028   2.18681E-025
