# lambda[um]  lamI_lam_total  lamI_lam_astrodust  lamI_lam_pah
  9.01600E-001   1.03223E-028   2.40131E-030   1.00822E-028
  9.12000E-001   1.13741E-028   2.56260E-030   1.11179E-028
  9.22600E-001   1.25789E-028   2.73291E-030   1.23056E-028
  9.33300E-001   1.39660E-028   2.91204E-030   1.36748E-028
  9.44100E-001   1.55954E-028   3.09875E-030   1.52855E-028
  9.55000E-001   1.75610E-028   3.29464E-030   1.72315E-028
  9.66100E-001   2.00418E-028   3.50048E-030   1.96918E-028
  9.77200E-001   2.32581E-028   3.71192E-030   2.28869E-028
  9.88600E-001   2.77940E-028   3.93012E-030   2.74010E-028
  1.00000E+000   3.44509E-028   4.16011E-030   3.40348E-028
  1.01200E+000   4.55284E-028   4.43359E-030   4.50851E-028
  1.02300E+000   6.19133E-028   4.69414E-030   6.14438E-028
  1.03500E+000   8.85682E-028   4.98852E-030   8.80694E-028
  1.04700E+000   1.14749E-027   5.29502E-030   1.14220E-027
  1.05900E+000   1.17405E-027   5.61260E-030   1.16843E-027
  1.07100E+000   1.00679E-027   5.94094E-030   1.00085E-027
  1.08400E+000   8.30307E-028   6.31117E-030   8.23996E-028
  1.09700E+000   7.22550E-028   6.69405E-030   7.15856E-028
  1.10900E+000   6.70915E-028   7.05955E-030   6.63856E-028
  1.12200E+000   6.48926E-028   7.46916E-030   6.41457E-028
  1.13500E+000   6.51122E-028   7.89331E-030   6.43229E-028
  1.14800E+000   6.71720E-028   8.33020E-030   6.63390E-028
  1.16100E+000   7.08596E-028   8.78172E-030   6.99814E-028
  1.17500E+000   7.66867E-028   9.28262E-030   7.57585E-028
  1.18900E+000   8.46610E-028   9.79976E-030   8.36810E-028
  1.20200E+000   9.42639E-028   1.02912E-029   9.32348E-028
  1.21600E+000   1.07051E-027   1.08356E-029   1.05967E-027
  1.23000E+000   1.21782E-027   1.13924E-029   1.20643E-027
  1.24500E+000   1.37550E-027   1.20032E-029   1.36350E-027
  1.25900E+000   1.49018E-027   1.25841E-029   1.47759E-027
  1.27300E+000   1.54923E-027   1.31743E-029   1.53606E-027
  1.28800E+000   1.55166E-027   1.38199E-029   1.53784E-027
  1.30300E+000   1.51636E-027   1.44743E-029   1.50188E-027
  1.31800E+000   1.47003E-027   1.51407E-029   1.45489E-027
  1.33400E+000   1.42663E-027   1.58648E-029   1.41077E-027
  1.34900E+000   1.39801E-027   1.65497E-029   1.38146E-027
  1.36500E+000   1.38063E-027   1.72932E-029   1.36334E-027
  1.38000E+000   1.37574E-027   1.79975E-029   1.35775E-027
  1.39600E+000   1.38025E-027   1.87596E-029   1.36149E-027
  1.41300E+000   1.39407E-027   1.95804E-029   1.37449E-027
  1.42900E+000   1.41384E-027   2.03612E-029   1.39348E-027
  1.44500E+000   1.43887E-027   2.11482E-029   1.41772E-027
  1.46200E+000   1.46990E-027   2.19931E-029   1.44790E-027
  1.47900E+000   1.50490E-027   2.28467E-029   1.48205E-027
  1.49600E+000   1.54279E-027   2.37099E-029   1.51908E-027
  1.51400E+000   1.58585E-027   2.46320E-029   1.56122E-027
  1.53100E+000   1.62858E-027   2.55150E-029   1.60307E-027
  1.54900E+000   1.67543E-027   2.64549E-029   1.64898E-027
  1.56700E+000   1.72437E-027   2.73998E-029   1.69697E-027
  1.58500E+000   1.77430E-027   2.83556E-029   1.74594E-027
  1.60300E+000   1.82550E-027   2.93244E-029   1.79618E-027
  1.62200E+000   1.88068E-027   3.03523E-029   1.85032E-027
  1.64100E+000   1.93619E-027   3.13897E-029   1.90480E-027
  1.66000E+000   1.99240E-027   3.24396E-029   1.95996E-027
  1.67900E+000   2.04861E-027   3.34994E-029   2.01511E-027
  1.69800E+000   2.10413E-027   3.45694E-029   2.06956E-027
  1.71800E+000   2.16284E-027   3.57080E-029   2.12713E-027
  1.73800E+000   2.21959E-027   3.68614E-029   2.18273E-027
  1.75800E+000   2.27473E-027   3.80247E-029   2.23670E-027
  1.77800E+000   2.32705E-027   3.92069E-029   2.28785E-027
  1.79900E+000   2.37588E-027   4.04606E-029   2.33542E-027
  1.82000E+000   2.41913E-027   4.17315E-029   2.37739E-027
  1.84100E+000   2.45252E-027   4.30198E-029   2.40950E-027
  1.86200E+000   2.47890E-027   4.43245E-029   2.43458E-027
  1.88400E+000   2.50781E-027   4.57122E-029   2.46210E-027
  1.90600E+000   2.55419E-027   4.71153E-029   2.50707E-027
  1.92800E+000   2.63057E-027   4.85439E-029   2.58203E-027
  1.95000E+000   2.72988E-027   4.99917E-029   2.67988E-027
  1.97200E+000   2.83483E-027   5.14565E-029   2.78337E-027
  1.99500E+000   2.94180E-027   5.30088E-029   2.88879E-027
  2.01800E+000   3.04228E-027   5.45805E-029   2.98770E-027
  2.04200E+000   3.14098E-027   5.62447E-029   3.08474E-027
  2.06500E+000   3.22834E-027   5.78560E-029   3.17048E-027
  2.08900E+000   3.31608E-027   5.95519E-029   3.25653E-027
  2.11400E+000   3.40446E-027   6.13340E-029   3.34313E-027
  2.13800E+000   3.48557E-027   6.30506E-029   3.42252E-027
  2.16300E+000   3.56840E-027   6.48544E-029   3.50355E-027
  2.18800E+000   3.65065E-027   6.66483E-029   3.58400E-027
