# DL07 PAH, neutral: the DL07 absorption cross sections (not Mie)
# a_eff stride: every 1 of 84
# lambda stride: every 1 of 1823
# Written by sed/make_qtable.x from this tree's own optics
#   routines; see src/make_qtable.f90 for the grids and inputs.
#   lambda[um]     a_eff[um]      Q_abs
  6.352744E-005  4.466836E-002  3.300348E-006
  6.352744E-005  5.011872E-002  3.703050E-006
  6.352744E-005  5.623413E-002  4.154890E-006
  6.352744E-005  6.309573E-002  4.661862E-006
  6.352744E-005  7.079458E-002  5.230693E-006
  6.352744E-005  7.943282E-002  5.868932E-006
  6.352744E-005  8.912509E-002  6.585047E-006
  6.352744E-005  1.000000E-001  7.388541E-006
  6.352744E-005  1.122018E-001  8.290075E-006
  6.352744E-005  1.258925E-001  9.301612E-006
  6.352744E-005  1.412538E-001  1.043657E-005
  6.352744E-005  1.584893E-001  1.171002E-005
  6.352744E-005  1.778279E-001  1.313885E-005
  6.352744E-005  1.995262E-001  1.474202E-005
  6.352744E-005  2.238721E-001  1.654080E-005
  6.352744E-005  2.511886E-001  1.855906E-005
  6.352744E-005  2.818383E-001  2.082358E-005
  6.352744E-005  3.162278E-001  2.336441E-005
  6.352744E-005  3.548134E-001  2.621526E-005
  6.352744E-005  3.981072E-001  2.941395E-005
  6.352744E-005  4.466836E-001  3.300292E-005
  6.352744E-005  5.011872E-001  3.702981E-005
  6.352744E-005  5.623413E-001  4.154802E-005
  6.352744E-005  6.309573E-001  4.661751E-005
  6.352744E-005  7.079458E-001  5.230554E-005
  6.352744E-005  7.943282E-001  5.868757E-005
  6.352744E-005  8.912509E-001  6.584828E-005
  6.352744E-005  1.000000E+000  7.388265E-005
  6.352744E-005  1.122018E+000  8.289727E-005
  6.352744E-005  1.258925E+000  9.301174E-005
  6.352744E-005  1.412538E+000  1.043602E-004
  6.352744E-005  1.584893E+000  1.170933E-004
  6.352744E-005  1.778279E+000  1.313797E-004
  6.352744E-005  1.995262E+000  1.474092E-004
  6.352744E-005  2.238721E+000  1.653941E-004
  6.352744E-005  2.511886E+000  1.855732E-004
