# DL07 silicate: Mie on the D03 astrosilicate dielectric function
# a_eff stride: every 1 of 84
# lambda stride: every 1 of 1129
# Written by sed/make_qtable.x from this tree's own optics
#   routines; see src/make_qtable.f90 for the grids and inputs.
#   lambda[um]     a_eff[um]      Q_ext         Q_abs          Q_sca         albedo         g
  9.332000E-002  1.584893E+000  2.091462E+000  8.232240E-001  1.268238E+000  6.063883E-001  8.607336E-001
  9.332000E-002  1.778279E+000  2.084728E+000  8.190819E-001  1.265646E+000  6.071037E-001  8.606464E-001
  9.332000E-002  1.995262E+000  2.078478E+000  8.153224E-001  1.263155E+000  6.077309E-001  8.605455E-001
  9.332000E-002  2.238721E+000  2.072678E+000  8.119125E-001  1.260766E+000  6.082785E-001  8.604338E-001
  9.332000E-002  2.511886E+000  2.067299E+000  8.088215E-001  1.258478E+000  6.087545E-001  8.603140E-001
  9.332000E-002  2.818383E+000  2.062312E+000  8.060215E-001  1.256291E+000  6.091661E-001  8.601883E-001
  9.332000E-002  3.162278E+000  2.057690E+000  8.034864E-001  1.254203E+000  6.095201E-001  8.600585E-001
  9.332000E-002  3.548134E+000  2.053406E+000  8.011924E-001  1.252213E+000  6.098226E-001  8.599264E-001
  9.332000E-002  3.981072E+000  2.049437E+000  7.991178E-001  1.250319E+000  6.100794E-001  8.597932E-001
  9.332000E-002  4.466836E+000  2.045761E+000  7.972425E-001  1.248518E+000  6.102954E-001  8.596601E-001
  9.332000E-002  5.011872E+000  2.042356E+000  7.955481E-001  1.246808E+000  6.104753E-001  8.595281E-001
  9.441000E-002  3.548134E-004  4.287404E-002  4.287369E-002  3.449596E-007  8.045885E-006  9.092426E-005
  9.441000E-002  3.981072E-004  4.811113E-002  4.811059E-002  5.467486E-007  1.136428E-005  1.144635E-004
  9.441000E-002  4.466836E-004  5.398959E-002  5.398873E-002  8.665865E-007  1.605099E-005  1.440959E-004
  9.441000E-002  5.011872E-004  6.058864E-002  6.058726E-002  1.373543E-006  2.266997E-005  1.813978E-004
  9.441000E-002  5.623413E-004  6.799755E-002  6.799538E-002  2.177107E-006  3.201743E-005  2.283536E-004
  9.441000E-002  6.309573E-004  7.631709E-002  7.631363E-002  3.450853E-006  4.521730E-005  2.874603E-004
  9.441000E-002  7.079458E-004  8.566106E-002  8.565559E-002  5.469962E-006  6.385587E-005  3.618601E-004
