# DL07 silicate: Mie on the D03 astrosilicate dielectric function
# a_eff stride: every 1 of 84
# lambda stride: every 1 of 1823
# Written by sed/make_qtable.x from this tree's own optics
#   routines; see src/make_qtable.f90 for the grids and inputs.
#   lambda[um]     a_eff[um]      Q_ext         Q_abs          Q_sca         albedo         g
  6.205399E-005  3.981072E+000  1.082155E+000  1.903877E-002  1.063116E+000  9.824066E-001  1.000000E+000
  6.205399E-005  4.466836E+000  1.310567E+000  2.133379E-002  1.289233E+000  9.837217E-001  1.000000E+000
  6.205399E-005  5.011872E+000  1.572313E+000  2.390165E-002  1.548411E+000  9.847984E-001  1.000000E+000
  6.254131E-005  3.548134E-004  1.767197E-006  1.757262E-006  9.935361E-009  5.622101E-003  9.968185E-001
  6.254131E-005  3.981072E-004  1.984196E-006  1.971680E-006  1.251572E-008  6.307704E-003  9.973972E-001
  6.254131E-005  4.466836E-004  2.228025E-006  2.212261E-006  1.576437E-008  7.075492E-003  9.978780E-001
  6.254131E-005  5.011872E-004  2.502052E-006  2.482197E-006  1.985446E-008  7.935271E-003  9.982678E-001
  6.254131E-005  5.623413E-004  2.810074E-006  2.785070E-006  2.500377E-008  8.897904E-003  9.985892E-001
  6.254131E-005  6.309573E-004  3.156386E-006  3.124900E-006  3.148663E-008  9.975532E-003  9.988500E-001
  6.254131E-005  7.079458E-004  3.545843E-006  3.506194E-006  3.964829E-008  1.118163E-002  9.990639E-001
  6.254131E-005  7.943282E-004  3.983937E-006  3.934014E-006  4.992340E-008  1.253117E-002  9.992394E-001
  6.254131E-005  8.912509E-004  4.476894E-006  4.414035E-006  6.285928E-008  1.404082E-002  9.993812E-001
  6.254131E-005  1.000000E-003  5.031772E-006  4.952627E-006  7.914479E-008  1.572901E-002  9.994972E-001
  6.254131E-005  1.122018E-003  5.656584E-006  5.556937E-006  9.964726E-008  1.761615E-002  9.995917E-001
  6.254131E-005  1.258925E-003  6.360442E-006  6.234984E-006  1.254586E-007  1.972482E-002  9.996684E-001
  6.254131E-005  1.412538E-003  7.153717E-006  6.995764E-006  1.579533E-007  2.207989E-002  9.997308E-001
  6.254131E-005  1.584893E-003  8.048234E-006  7.849372E-006  1.988619E-007  2.470876E-002  9.997816E-001
  6.254131E-005  1.778279E-003  9.057499E-006  8.807136E-006  2.503630E-007  2.764152E-002  9.998230E-001
  6.254131E-005  1.995262E-003  1.019696E-005  9.881763E-006  3.151992E-007  3.091109E-002  9.998566E-001
  6.254131E-005  2.238721E-003  1.148434E-005  1.108751E-005  3.968234E-007  3.455344E-002  9.998837E-001
  6.254131E-005  2.511886E-003  1.293997E-005  1.244038E-005  4.995821E-007  3.860768E-002  9.999059E-001
  6.254131E-005  2.818383E-003  1.458728E-005  1.395833E-005  6.289479E-007  4.311619E-002  9.999238E-001
  6.254131E-005  3.162278E-003  1.645330E-005  1.566149E-005  7.918096E-007  4.812468E-002  9.999383E-001
  6.254131E-005  3.548134E-003  1.856930E-005  1.757246E-005  9.968404E-007  5.368217E-002  9.999501E-001
  6.254131E-005  3.981072E-003  2.097156E-005  1.971660E-005  1.254958E-006  5.984098E-002  9.999597E-001
  6.254131E-005  4.466836E-003  2.370227E-005  2.212236E-005  1.579910E-006  6.665647E-002  9.999674E-001
  6.254131E-005  5.011872E-003  2.681065E-005  2.482166E-005  1.988998E-006  7.418684E-002  9.999736E-001
  6.254131E-005  5.623413E-003  3.035432E-005  2.785031E-005  2.504008E-006  8.249266E-002  9.999787E-001
  6.254131E-005  6.309573E-003  3.440087E-005  3.124850E-005  3.152367E-006  9.163625E-002  9.999828E-001
