# DL07 PAH, neutral: the DL07 absorption cross sections (not Mie)
# a_eff stride: every 1 of 84
# lambda stride: every 1 of 1129
# Written by sed/make_qtable.x from this tree's own optics
#   routines; see src/make_qtable.f90 for the grids and inputs.
#   lambda[um]     a_eff[um]      Q_abs
  9.661000E-002  3.548134E-002  1.490462E+000
  9.661000E-002  3.981072E-002  1.447324E+000
  9.661000E-002  4.466836E-002  1.386686E+000
  9.661000E-002  5.011872E-002  1.338444E+000
  9.661000E-002  5.623413E-002  1.290928E+000
  9.661000E-002  6.309573E-002  1.244988E+000
  9.661000E-002  7.079458E-002  1.202418E+000
  9.661000E-002  7.943282E-002  1.162876E+000
  9.661000E-002  8.912509E-002  1.124884E+000
  9.661000E-002  1.000000E-001  1.089900E+000
  9.661000E-002  1.122018E-001  1.057272E+000
  9.661000E-002  1.258925E-001  1.026765E+000
  9.661000E-002  1.412538E-001  9.983211E-001
  9.661000E-002  1.584893E-001  9.718518E-001
  9.661000E-002  1.778279E-001  9.472449E-001
  9.661000E-002  1.995262E-001  9.243616E-001
  9.661000E-002  2.238721E-001  9.031216E-001
  9.661000E-002  2.511886E-001  8.834161E-001
  9.661000E-002  2.818383E-001  8.651547E-001
  9.661000E-002  3.162278E-001  8.482484E-001
  9.661000E-002  3.548134E-001  8.326139E-001
  9.661000E-002  3.981072E-001  8.181713E-001
  9.661000E-002  4.466836E-001  8.048455E-001
  9.661000E-002  5.011872E-001  7.925648E-001
  9.661000E-002  5.623413E-001  7.812611E-001
  9.661000E-002  6.309573E-001  7.708696E-001
  9.661000E-002  7.079458E-001  7.613285E-001
  9.661000E-002  7.943282E-001  7.525791E-001
  9.661000E-002  8.912509E-001  7.445655E-001
  9.661000E-002  1.000000E+000  7.372347E-001
  9.661000E-002  1.122018E+000  7.305362E-001
  9.661000E-002  1.258925E+000  7.244226E-001
  9.661000E-002  1.412538E+000  7.188488E-001
  9.661000E-002  1.584893E+000  7.137725E-001
  9.661000E-002  1.778279E+000  7.091539E-001
  9.661000E-002  1.995262E+000  7.049557E-001
  9.661000E-002  2.238721E+000  7.011431E-001
  9.661000E-002  2.511886E+000  6.976837E-001
  9.661000E-002  2.818383E+000  6.945471E-001
  9.661000E-002  3.162278E+000  6.917055E-001
  9.661000E-002  3.548134E+000  6.891329E-001
  9.661000E-002  3.981072E+000  6.868053E-001
  9.661000E-002  4.466836E+000  6.847008E-001
  9.661000E-002  5.011872E+000  6.827991E-001
  9.772000E-002  3.548134E-004  6.632308E-002
  9.772000E-002  3.981072E-004  7.525489E-002
  9.772000E-002  4.466836E-004  8.369298E-002
  9.772000E-002  5.011872E-004  9.339178E-002
  9.772000E-002  5.623413E-004  1.056122E-001
  9.772000E-002  6.309573E-004  1.178513E-001
  9.772000E-002  7.079458E-004  1.324844E-001
  9.772000E-002  7.943282E-004  1.487172E-001
  9.772000E-002  8.912509E-004  1.666861E-001
  9.772000E-002  1.000000E-003  1.868782E-001
  9.772000E-002  1.122018E-003  2.097165E-001
  9.772000E-002  1.258925E-003  2.353274E-001
  9.772000E-002  1.412538E-003  2.640536E-001
  9.772000E-002  1.584893E-003  2.961824E-001
  9.772000E-002  1.778279E-003  3.323478E-001
  9.772000E-002  1.995262E-003  3.728781E-001
  9.772000E-002  2.238721E-003  4.183913E-001
  9.772000E-002  2.511886E-003  4.695074E-001
  9.772000E-002  2.818383E-003  5.268261E-001
  9.772000E-002  3.162278E-003  5.911607E-001
  9.772000E-002  3.548134E-003  6.633325E-001
  9.772000E-002  3.981072E-003  7.443529E-001
  9.772000E-002  4.466836E-003  8.352855E-001
  9.772000E-002  5.011872E-003  9.356493E-001
  9.772000E-002  5.623413E-003  9.780768E-001
  9.772000E-002  6.309573E-003  1.051577E+000
  9.772000E-002  7.079458E-003  1.155247E+000
  9.772000E-002  7.943282E-003  1.286839E+000
  9.772000E-002  8.912509E-003  1.440348E+000
  9.772000E-002  1.000000E-002  1.602861E+000
  9.772000E-002  1.122018E-002  1.752191E+000
  9.772000E-002  1.258925E-002  1.859136E+000
  9.772000E-002  1.412538E-002  1.898402E+000
  9.772000E-002  1.584893E-002  1.865998E+000
