# DL07 graphite: Mie on the D03 graphite dielectric functions, 1/3 E||c + 2/3 E-perp-c
# a_eff stride: every 1 of 84
# lambda stride: every 1 of 1129
# Written by sed/make_qtable.x from this tree's own optics
#   routines; see src/make_qtable.f90 for the grids and inputs.
#   lambda[um]     a_eff[um]      Q_ext         Q_abs          Q_sca         albedo         g
  9.550000E-002  5.623413E-003  9.868569E-001  9.393674E-001  4.748946E-002  4.812193E-002  1.675549E-002
  9.550000E-002  6.309573E-003  1.148040E+000  1.072702E+000  7.533789E-002  6.562304E-002  2.118667E-002
  9.550000E-002  7.079458E-003  1.341443E+000  1.222645E+000  1.187982E-001  8.855997E-002  2.689659E-002
  9.550000E-002  7.943282E-003  1.571459E+000  1.386134E+000  1.853249E-001  1.179317E-001  3.434055E-002
  9.550000E-002  8.912509E-003  1.838916E+000  1.554953E+000  2.839628E-001  1.544186E-001  4.418221E-002
  9.550000E-002  1.000000E-002  2.136581E+000  1.713586E+000  4.229952E-001  1.979776E-001  5.739017E-002
  9.550000E-002  1.122018E-002  2.443624E+000  1.839211E+000  6.044131E-001  2.473429E-001  7.535523E-002
  9.550000E-002  1.258925E-002  2.723100E+000  1.907225E+000  8.158743E-001  2.996123E-001  1.000061E-001
  9.550000E-002  1.412538E-002  2.930638E+000  1.904166E+000  1.026471E+000  3.502553E-001  1.338905E-001
  9.550000E-002  1.584893E-002  3.038929E+000  1.841955E+000  1.196975E+000  3.938805E-001  1.802208E-001
  9.550000E-002  1.778279E-002  3.062597E+000  1.758404E+000  1.304193E+000  4.258454E-001  2.427963E-001
  9.550000E-002  1.995262E-002  3.054658E+000  1.696144E+000  1.358514E+000  4.447353E-001  3.243714E-001
  9.550000E-002  2.238721E-002  3.067329E+000  1.670655E+000  1.396674E+000  4.553390E-001  4.192487E-001
  9.550000E-002  2.511886E-002  3.100667E+000  1.651349E+000  1.449318E+000  4.674213E-001  5.042978E-001
  9.550000E-002  2.818383E-002  3.100869E+000  1.596540E+000  1.504330E+000  4.851316E-001  5.569332E-001
  9.550000E-002  3.162278E-002  3.053114E+000  1.523079E+000  1.530035E+000  5.011392E-001  5.875720E-001
  9.550000E-002  3.548134E-002  3.011290E+000  1.474187E+000  1.537104E+000  5.104468E-001  6.210739E-001
