# Wavelength, tau_Ad/NH, tau_PAH/NH, tau_total/NH
# [Microns] [cm^2/H] [cm^2/H] [cm^2/H]
4.3581e+00 1.6464e-23 1.6502e-25 1.6629e-23
4.4135e+00 1.6373e-23 1.6194e-25 1.6535e-23
4.4695e+00 1.6292e-23 1.5902e-25 1.6451e-23
4.5263e+00 1.6220e-23 1.5626e-25 1.6377e-23
4.5838e+00 1.6152e-23 1.5367e-25 1.6305e-23
4.6421e+00 1.6089e-23 1.5126e-25 1.6241e-23
4.7010e+00 1.6030e-23 1.4908e-25 1.6179e-23
4.7608e+00 1.5975e-23 1.4715e-25 1.6122e-23
4.8212e+00 1.5920e-23 1.4554e-25 1.6066e-23
4.8825e+00 1.5870e-23 1.4438e-25 1.6015e-23
4.9445e+00 1.5822e-23 1.4386e-25 1.5966e-23
5.0073e+00 1.5773e-23 1.4441e-25 1.5917e-23
5.0710e+00 1.5723e-23 1.4703e-25 1.5870e-23
5.1354e+00 1.5673e-23 1.5471e-25 1.5828e-23
5.2006e+00 1.5622e-23 1.7244e-25 1.5794e-23
5.2667e+00 1.5570e-23 1.9029e-25 1.5760e-23
5.3336e+00 1.5518e-23 1.7829e-25 1.5696e-23
5.4014e+00 1.5465e-23 1.6258e-25 1.5628e-23
5.4700e+00 1.5417e-23 1.6020e-25 1.5577e-23
5.5395e+00 1.5367e-23 1.7008e-25 1.5537e-23
5.6098e+00 1.5313e-23 1.9793e-25 1.5511e-23
5.6811e+00 1.5260e-23 2.3951e-25 1.5499e-23
5.7533e+00 1.5206e-23 2.3128e-25 1.5437e-23
5.8264e+00 1.5146e-23 2.0797e-25 1.5354e-23
5.9004e+00 1.5093e-23 2.1432e-25 1.5307e-23
5.9754e+00 1.5039e-23 2.5307e-25 1.5292e-23
6.0513e+00 1.4983e-23 3.5265e-25 1.5336e-23
6.1281e+00 1.4927e-23 6.0082e-25 1.5528e-23
6.2060e+00 1.4871e-23 9.3062e-25 1.5802e-23
6.2848e+00 1.4813e-23 7.4213e-25 1.5555e-23
6.3647e+00 1.4756e-23 4.4534e-25 1.5202e-23
6.4455e+00 1.4701e-23 3.2667e-25 1.5027e-23
6.5274e+00 1.4641e-23 2.9463e-25 1.4935e-23
