# Wavelength, p^max/NH
# [Microns] [cm^2/H]
1.0953e+01 3.1720e-24
1.1092e+01 3.0640e-24
1.1233e+01 2.9329e-24
1.1376e+01 2.7780e-24
1.1520e+01 2.6296e-24
1.1667e+01 2.4944e-24
1.1815e+01 2.3648e-24
1.1965e+01 2.2321e-24
1.2117e+01 2.0941e-24
1.2271e+01 1.9592e-24
1.2427e+01 1.8395e-24
1.2585e+01 1.7484e-24
1.2744e+01 1.6946e-24
1.2906e+01 1.6630e-24
1.3070e+01 1.6324e-24
1.3236e+01 1.6059e-24
1.3404e+01 1.5825e-24
1.3575e+01 1.5595e-24
1.3747e+01 1.5389e-24
1.3922e+01 1.5215e-24
1.4099e+01 1.5077e-24
1.4278e+01 1.4979e-24
1.4459e+01 1.4930e-24
1.4643e+01 1.4942e-24
1.4829e+01 1.5024e-24
1.5017e+01 1.5181e-24
1.5208e+01 1.5415e-24
1.5401e+01 1.5725e-24
1.5597e+01 1.6106e-24
1.5795e+01 1.6553e-24
1.5996e+01 1.7066e-24
1.6199e+01 1.7636e-24
1.6405e+01 1.8255e-24
1.6613e+01 1.8911e-24
1.6824e+01 1.9585e-24
1.7038e+01 2.0253e-24
1.7254e+01 2.0895e-24
1.7474e+01 2.1501e-24
1.7696e+01 2.2058e-24
1.7921e+01 2.2555e-24
1.8148e+01 2.2981e-24
1.8379e+01 2.3323e-24
1.8612e+01 2.3569e-24
1.8849e+01 2.3701e-24
1.9088e+01 2.3709e-24
1.9331e+01 2.3623e-24
1.9576e+01 2.3420e-24
1.9825e+01 2.3131e-24
2.0077e+01 2.2813e-24
2.0332e+01 2.2515e-24
2.0590e+01 2.2225e-24
2.0852e+01 2.1956e-24
2.1117e+01 2.1707e-24
2.1385e+01 2.1444e-24
2.1657e+01 2.1180e-24
2.1932e+01 2.0900e-24
2.2210e+01 2.0568e-24
2.2492e+01 2.0192e-24
2.2778e+01 1.9779e-24
2.3068e+01 1.9319e-24
2.3361e+01 1.8854e-24
2.3657e+01 1.8381e-24
2.3958e+01 1.7911e-24
2.4262e+01 1.7452e-24
2.4571e+01 1.7003e-24
2.4883e+01 1.6554e-24
2.5199e+01 1.6119e-24
2.5519e+01 1.5706e-24
2.5843e+01 1.5298e-24
2.6171e+01 1.4895e-24
2.6504e+01 1.4503e-24
2.6841e+01 1.4129e-24
2.7182e+01 1.3753e-24
2.7527e+01 1.3391e-24
2.7877e+01 1.3032e-24
2.8231e+01 1.2683e-24
2.8589e+01 1.2343e-24
2.8953e+01 1.2013e-24
2.9321e+01 1.1690e-24
2.9693e+01 1.1374e-24
3.0070e+01 1.1071e-24
3.0452e+01 1.0772e-24
3.0839e+01 1.0479e-24
3.1231e+01 1.0195e-24
3.1628e+01 9.9180e-25
3.2029e+01 9.6484e-25
3.2436e+01 9.3817e-25
3.2848e+01 9.1294e-25
3.3266e+01 8.8841e-25
3.3688e+01 8.6379e-25
3.4116e+01 8.4016e-25
3.4550e+01 8.1746e-25
3.4989e+01 7.9495e-25
3.5433e+01 7.7337e-25
3.5883e+01 7.5244e-25
3.6339e+01 7.3204e-25
3.6801e+01 7.1180e-25
3.7268e+01 6.9248e-25
3.7742e+01 6.7354e-25
3.8221e+01 6.5497e-25
3.8707e+01 6.3714e-25
3.9199e+01 6.1977e-25
3.9697e+01 6.0286e-25
4.0201e+01 5.8671e-25
4.0712e+01 5.7033e-25
4.1229e+01 5.5504e-25
4.1753e+01 5.4005e-25
4.2283e+01 5.2514e-25
4.2820e+01 5.1071e-25
4.3364e+01 4.9688e-25
4.3915e+01 4.8340e-25
4.4473e+01 4.7043e-25
4.5038e+01 4.5746e-25
4.5610e+01 4.4507e-25
4.6190e+01 4.3318e-25
4.6777e+01 4.2147e-25
4.7371e+01 4.1013e-25
4.7973e+01 3.9892e-25
4.8582e+01 3.8800e-25
4.9199e+01 3.7775e-25
4.9824e+01 3.6742e-25
5.0457e+01 3.5751e-25
5.1098e+01 3.4792e-25
5.1747e+01 3.3857e-25
5.2405e+01 3.2941e-25
5.3071e+01 3.2049e-25
5.3745e+01 3.1195e-25
5.4428e+01 3.0364e-25
5.5119e+01 2.9549e-25
5.5819e+01 2.8756e-25
5.6528e+01 2.7986e-25
5.7247e+01 2.7237e-25
5.7974e+01 2.6507e-25
5.8710e+01 2.5802e-25
5.9456e+01 2.5113e-25
6.0212e+01 2.4452e-25
6.0977e+01 2.3798e-25
6.1751e+01 2.3169e-25
6.2536e+01 2.2544e-25
6.3330e+01 2.1947e-25
6.4135e+01 2.1370e-25
6.4949e+01 2.0808e-25
6.5775e+01 2.0260e-25
6.6610e+01 1.9722e-25
6.7456e+01 1.9203e-25
6.8313e+01 1.8698e-25
6.9181e+01 1.8207e-25
7.0060e+01 1.7726e-25
7.0950e+01 1.7259e-25
7.1852e+01 1.6811e-25
7.2764e+01 1.6369e-25
7.3689e+01 1.5944e-25
7.4625e+01 1.5523e-25
7.5573e+01 1.5116e-25
7.6533e+01 1.4723e-25
7.7505e+01 1.4346e-25
7.8490e+01 1.3970e-25
7.9487e+01 1.3606e-25
8.0497e+01 1.3256e-25
8.1520e+01 1.2909e-25
8.2555e+01 1.2576e-25
8.3604e+01 1.2249e-25
8.4666e+01 1.1934e-25
8.5742e+01 1.1626e-25
8.6831e+01 1.1327e-25
8.7934e+01 1.1034e-25
8.9051e+01 1.0751e-25
9.0183e+01 1.0479e-25
9.1328e+01 1.0208e-25
9.2489e+01 9.9446e-26
9.3664e+01 9.6921e-26
9.4854e+01 9.4438e-26
9.6059e+01 9.2048e-26
9.7279e+01 8.9694e-26
9.8515e+01 8.7405e-26
9.9766e+01 8.5193e-26
1.0103e+02 8.3042e-26
1.0232e+02 8.0937e-26
1.0362e+02 7.8889e-26
1.0493e+02 7.6886e-26
1.0627e+02 7.4945e-26
1.0762e+02 7.3040e-26
1.0898e+02 7.1213e-26
1.1037e+02 6.9433e-26
1.1177e+02 6.7672e-26
1.1319e+02 6.5958e-26
1.1463e+02 6.4325e-26
1.1608e+02 6.2699e-26
1.1756e+02 6.1151e-26
1.1905e+02 5.9616e-26
1.2057e+02 5.8135e-26
1.2210e+02 5.6675e-26
1.2365e+02 5.5280e-26
1.2522e+02 5.3900e-26
1.2681e+02 5.2563e-26
1.2842e+02 5.1265e-26
1.3005e+02 5.0002e-26
1.3170e+02 4.8751e-26
1.3338e+02 4.7549e-26
1.3507e+02 4.6385e-26
1.3679e+02 4.5245e-26
1.3853e+02 4.4137e-26
1.4029e+02 4.3054e-26
1.4207e+02 4.1999e-26
1.4387e+02 4.0971e-26
1.4570e+02 3.9968e-26
1.4755e+02 3.8991e-26
1.4943e+02 3.8037e-26
1.5132e+02 3.7111e-26
1.5325e+02 3.6204e-26
1.5519e+02 3.5325e-26
1.5717e+02 3.4465e-26
1.5916e+02 3.3636e-26
1.6118e+02 3.2827e-26
1.6323e+02 3.2028e-26
1.6531e+02 3.1256e-26
1.6741e+02 3.0494e-26
1.6953e+02 2.9774e-26
1.7169e+02 2.9052e-26
1.7387e+02 2.8349e-26
1.7608e+02 2.7671e-26
1.7831e+02 2.7017e-26
1.8058e+02 2.6365e-26
1.8287e+02 2.5738e-26
1.8520e+02 2.5125e-26
1.8755e+02 2.4521e-26
1.8993e+02 2.3941e-26
1.9234e+02 2.3373e-26
1.9479e+02 2.2815e-26
1.9726e+02 2.2279e-26
1.9977e+02 2.1750e-26
2.0231e+02 2.1232e-26
2.0488e+02 2.0734e-26
2.0748e+02 2.0246e-26
2.1012e+02 1.9770e-26
2.1278e+02 1.9307e-26
2.1549e+02 1.8853e-26
2.1823e+02 1.8405e-26
2.2100e+02 1.7979e-26
2.2381e+02 1.7555e-26
2.2665e+02 1.7149e-26
2.2953e+02 1.6749e-26
2.3244e+02 1.6362e-26
2.3540e+02 1.5978e-26
2.3839e+02 1.5607e-26
2.4142e+02 1.5246e-26
2.4448e+02 1.4895e-26
2.4759e+02 1.4551e-26
2.5073e+02 1.4212e-26
2.5392e+02 1.3887e-26
2.5715e+02 1.3567e-26
2.6041e+02 1.3254e-26
2.6372e+02 1.2947e-26
2.6707e+02 1.2652e-26
2.7046e+02 1.2362e-26
2.7390e+02 1.2080e-26
2.7738e+02 1.1804e-26
2.8090e+02 1.1537e-26
2.8447e+02 1.1275e-26
2.8809e+02 1.1016e-26
2.9175e+02 1.0762e-26
2.9545e+02 1.0524e-26
2.9921e+02 1.0280e-26
3.0301e+02 1.0052e-26
3.0686e+02 9.8247e-27
3.1076e+02 9.6032e-27
3.1470e+02 9.3860e-27
3.1870e+02 9.1745e-27
3.2275e+02 8.9669e-27
3.2685e+02 8.7659e-27
3.3100e+02 8.5743e-27
3.3521e+02 8.3813e-27
3.3947e+02 8.1922e-27
3.4378e+02 8.0086e-27
3.4815e+02 7.8343e-27
3.5257e+02 7.6598e-27
3.5705e+02 7.4886e-27
3.6158e+02 7.3205e-27
3.6618e+02 7.1585e-27
3.7083e+02 7.0044e-27
3.7554e+02 6.8465e-27
3.8031e+02 6.6982e-27
3.8514e+02 6.5457e-27
3.9004e+02 6.4035e-27
3.9499e+02 6.2638e-27
4.0001e+02 6.1269e-27
4.0509e+02 5.9923e-27
4.1024e+02 5.8624e-27
4.1545e+02 5.7339e-27
4.2073e+02 5.6066e-27
4.2607e+02 5.4878e-27
4.3149e+02 5.3689e-27
4.3697e+02 5.2491e-27
4.4252e+02 5.1373e-27
4.4814e+02 5.0257e-27
4.5383e+02 4.9184e-27
4.5960e+02 4.8118e-27
4.6544e+02 4.7069e-27
4.7135e+02 4.6074e-27
4.7734e+02 4.5068e-27
4.8340e+02 4.4108e-27
4.8954e+02 4.3157e-27
4.9576e+02 4.2244e-27
5.0206e+02 4.1344e-27
5.0844e+02 4.0444e-27
5.1490e+02 3.9590e-27
5.2144e+02 3.8751e-27
5.2807e+02 3.7921e-27
5.3477e+02 3.7134e-27
5.4157e+02 3.6344e-27
5.4845e+02 3.5578e-27
5.5542e+02 3.4814e-27
5.6247e+02 3.4080e-27
5.6962e+02 3.3384e-27
5.7685e+02 3.2665e-27
5.8418e+02 3.1990e-27
5.9160e+02 3.1310e-27
5.9912e+02 3.0657e-27
6.0673e+02 3.0025e-27
6.1444e+02 2.9393e-27
6.2225e+02 2.8778e-27
6.3015e+02 2.8180e-27
6.3816e+02 2.7600e-27
6.4626e+02 2.7023e-27
6.5447e+02 2.6474e-27
6.6279e+02 2.5911e-27
6.7121e+02 2.5382e-27
6.7974e+02 2.4858e-27
6.8837e+02 2.4354e-27
6.9712e+02 2.3848e-27
7.0597e+02 2.3357e-27
7.1494e+02 2.2878e-27
7.2402e+02 2.2415e-27
7.3322e+02 2.1954e-27
7.4254e+02 2.1517e-27
7.5197e+02 2.1065e-27
7.6152e+02 2.0648e-27
7.7120e+02 2.0234e-27
7.8100e+02 1.9814e-27
7.9092e+02 1.9410e-27
8.0097e+02 1.9014e-27
8.1114e+02 1.8638e-27
8.2145e+02 1.8267e-27
8.3188e+02 1.7894e-27
8.4245e+02 1.7540e-27
8.5315e+02 1.7189e-27
8.6399e+02 1.6840e-27
8.7497e+02 1.6508e-27
8.8608e+02 1.6177e-27
8.9734e+02 1.5854e-27
9.0874e+02 1.5542e-27
9.2029e+02 1.5229e-27
9.3198e+02 1.4929e-27
9.4382e+02 1.4637e-27
9.5581e+02 1.4343e-27
9.6795e+02 1.4062e-27
9.8025e+02 1.3786e-27
9.9270e+02 1.3513e-27
1.0053e+03 1.3250e-27
1.0181e+03 1.2989e-27
1.0310e+03 1.2734e-27
1.0441e+03 1.2487e-27
1.0574e+03 1.2241e-27
1.0708e+03 1.2004e-27
1.0844e+03 1.1772e-27
1.0982e+03 1.1540e-27
1.1121e+03 1.1318e-27
1.1263e+03 1.1100e-27
1.1406e+03 1.0884e-27
1.1551e+03 1.0676e-27
1.1697e+03 1.0469e-27
1.1846e+03 1.0267e-27
1.1997e+03 1.0072e-27
1.2149e+03 9.8764e-28
1.2303e+03 9.6891e-28
1.2460e+03 9.5049e-28
1.2618e+03 9.3209e-28
1.2778e+03 9.1450e-28
1.2941e+03 8.9710e-28
1.3105e+03 8.7994e-28
1.3271e+03 8.6351e-28
1.3440e+03 8.4700e-28
1.3611e+03 8.3099e-28
1.3784e+03 8.1554e-28
1.3959e+03 7.9991e-28
1.4136e+03 7.8499e-28
1.4316e+03 7.7037e-28
1.4498e+03 7.5571e-28
1.4682e+03 7.4175e-28
1.4868e+03 7.2788e-28
1.5057e+03 7.1428e-28
1.5248e+03 7.0110e-28
1.5442e+03 6.8795e-28
1.5638e+03 6.7523e-28
1.5837e+03 6.6291e-28
1.6038e+03 6.5035e-28
1.6242e+03 6.3854e-28
1.6448e+03 6.2678e-28
1.6657e+03 6.1513e-28
1.6869e+03 6.0401e-28
1.7083e+03 5.9289e-28
1.7300e+03 5.8198e-28
1.7520e+03 5.7147e-28
1.7743e+03 5.6090e-28
1.7968e+03 5.5078e-28
1.8196e+03 5.4090e-28
1.8427e+03 5.3088e-28
1.8662e+03 5.2142e-28
1.8899e+03 5.1202e-28
1.9139e+03 5.0268e-28
1.9382e+03 4.9376e-28
1.9628e+03 4.8482e-28
1.9877e+03 4.7613e-28
2.0130e+03 4.6723e-28
2.0386e+03 4.5843e-28
2.0645e+03 4.4983e-28
2.0907e+03 4.4120e-28
2.1173e+03 4.3290e-28
2.1442e+03 4.2475e-28
2.1714e+03 4.1660e-28
2.1990e+03 4.0877e-28
2.2269e+03 4.0096e-28
2.2552e+03 3.9333e-28
2.2839e+03 3.8597e-28
2.3129e+03 3.7855e-28
2.3423e+03 3.7140e-28
2.3720e+03 3.6440e-28
2.4022e+03 3.5739e-28
2.4327e+03 3.5069e-28
2.4636e+03 3.4405e-28
2.4949e+03 3.3745e-28
2.5266e+03 3.3108e-28
2.5587e+03 3.2475e-28
2.5912e+03 3.1859e-28
2.6241e+03 3.1261e-28
2.6574e+03 3.0658e-28
2.6912e+03 3.0078e-28
2.7254e+03 2.9514e-28
2.7600e+03 2.8946e-28
2.7951e+03 2.8402e-28
2.8306e+03 2.7868e-28
2.8665e+03 2.7335e-28
2.9029e+03 2.6814e-28
2.9398e+03 2.6311e-28
2.9772e+03 2.5806e-28
3.0150e+03 2.5317e-28
3.0533e+03 2.4840e-28
3.0921e+03 2.4371e-28
3.1314e+03 2.3901e-28
3.1712e+03 2.3453e-28
3.2114e+03 2.3008e-28
3.2522e+03 2.2566e-28
3.2936e+03 2.2140e-28
3.3354e+03 2.1724e-28
3.3778e+03 2.1308e-28
3.4207e+03 2.0901e-28
3.4641e+03 2.0507e-28
3.5082e+03 2.0113e-28
3.5527e+03 1.9734e-28
3.5979e+03 1.9364e-28
3.6436e+03 1.8994e-28
3.6899e+03 1.8630e-28
3.7367e+03 1.8279e-28
3.7842e+03 1.7934e-28
3.8323e+03 1.7591e-28
3.8810e+03 1.7256e-28
3.9303e+03 1.6931e-28
3.9802e+03 1.6613e-28
4.0308e+03 1.6291e-28
4.0820e+03 1.5984e-28
4.1338e+03 1.5682e-28
4.1863e+03 1.5385e-28
4.2395e+03 1.5090e-28
4.2934e+03 1.4805e-28
4.3479e+03 1.4526e-28
4.4032e+03 1.4246e-28
4.4591e+03 1.3977e-28
4.5158e+03 1.3713e-28
4.5731e+03 1.3456e-28
4.6312e+03 1.3193e-28
4.6901e+03 1.2945e-28
4.7496e+03 1.2701e-28
4.8100e+03 1.2459e-28
4.8711e+03 1.2221e-28
4.9330e+03 1.1991e-28
4.9956e+03 1.1764e-28
5.0591e+03 1.1542e-28
5.1234e+03 1.1319e-28
5.1885e+03 1.1105e-28
5.2544e+03 1.0895e-28
5.3211e+03 1.0690e-28
5.3887e+03 1.0483e-28
5.4572e+03 1.0287e-28
5.5265e+03 1.0092e-28
5.5967e+03 9.9008e-29
