# Wavelength, tau^sca_Ad/NH, tau^sca_PAH/NH, tau^sca_total/NH
# [Microns] [cm^2/H] [cm^2/H] [cm^2/H]
1.9331e+01 8.7470e-27 8.3744e-33 8.7470e-27
1.9576e+01 8.4838e-27 7.9648e-33 8.4838e-27
1.9825e+01 8.1969e-27 7.5753e-33 8.1969e-27
2.0077e+01 7.8977e-27 7.2050e-33 7.8977e-27
2.0332e+01 7.6056e-27 6.8528e-33 7.6056e-27
2.0590e+01 7.3214e-27 6.5178e-33 7.3214e-27
2.0852e+01 7.0510e-27 6.1994e-33 7.0510e-27
2.1117e+01 6.7962e-27 5.8965e-33 6.7962e-27
2.1385e+01 6.5494e-27 5.6084e-33 6.5494e-27
2.1657e+01 6.3164e-27 5.3345e-33 6.3164e-27
2.1932e+01 6.0937e-27 5.0741e-33 6.0937e-27
