# Polarized extinction per H: this code vs HD23 release
# lambda[um]  ours[cm^2/H]  reference[cm^2/H]  ratio
  1.716900E+02  2.904355E-26  2.905200E-26  9.997092E-01
  1.738700E+02  2.834247E-26  2.834900E-26  9.997697E-01
  1.760800E+02  2.766527E-26  2.767100E-26  9.997930E-01
  1.783100E+02  2.700476E-26  2.701700E-26  9.995471E-01
  1.805800E+02  2.635909E-26  2.636500E-26  9.997757E-01
  1.828700E+02  2.573641E-26  2.573800E-26  9.999383E-01
  1.852000E+02  2.511858E-26  2.512500E-26  9.997444E-01
  1.875500E+02  2.451800E-26  2.452100E-26  9.998777E-01
  1.899300E+02  2.394680E-26  2.394100E-26  1.000242E+00
  1.923400E+02  2.337876E-26  2.337300E-26  1.000246E+00
  1.947900E+02  2.281041E-26  2.281500E-26  9.997990E-01
  1.972600E+02  2.226224E-26  2.227900E-26  9.992477E-01
  1.997700E+02  2.173745E-26  2.175000E-26  9.994232E-01
  2.023100E+02  2.121974E-26  2.123200E-26  9.994223E-01
  2.048800E+02  2.072868E-26  2.073400E-26  9.997433E-01
  2.074800E+02  2.023393E-26  2.024600E-26  9.994037E-01
  2.101200E+02  1.976607E-26  1.977000E-26  9.998011E-01
  2.127800E+02  1.930563E-26  1.930700E-26  9.999288E-01
  2.154900E+02  1.885105E-26  1.885300E-26  9.998968E-01
  2.182300E+02  1.840220E-26  1.840500E-26  9.998477E-01
  2.210000E+02  1.797148E-26  1.797900E-26  9.995819E-01
  2.238100E+02  1.755243E-26  1.755500E-26  9.998537E-01
  2.266500E+02  1.714844E-26  1.714900E-26  9.999674E-01
  2.295300E+02  1.674390E-26  1.674900E-26  9.996953E-01
  2.324400E+02  1.635327E-26  1.636200E-26  9.994664E-01
  2.354000E+02  1.596891E-26  1.597800E-26  9.994314E-01
  2.383900E+02  1.560107E-26  1.560700E-26  9.996198E-01
  2.414200E+02  1.524463E-26  1.524600E-26  9.999100E-01
  2.444800E+02  1.489481E-26  1.489500E-26  9.999872E-01
  2.475900E+02  1.454600E-26  1.455100E-26  9.996562E-01
  2.507300E+02  1.420865E-26  1.421200E-26  9.997644E-01
  2.539200E+02  1.388200E-26  1.388700E-26  9.996398E-01
  2.571500E+02  1.355798E-26  1.356700E-26  9.993355E-01
  2.604100E+02  1.324861E-26  1.325400E-26  9.995933E-01
  2.637200E+02  1.294201E-26  1.294700E-26  9.996143E-01
  2.670700E+02  1.264840E-26  1.265200E-26  9.997158E-01
  2.704600E+02  1.235651E-26  1.236200E-26  9.995558E-01
  2.739000E+02  1.207701E-26  1.208000E-26  9.997526E-01
  2.773800E+02  1.179878E-26  1.180400E-26  9.995577E-01
  2.809000E+02  1.153159E-26  1.153700E-26  9.995310E-01
  2.844700E+02  1.127059E-26  1.127500E-26  9.996088E-01
  2.880900E+02  1.101230E-26  1.101600E-26  9.996637E-01
  2.917500E+02  1.075495E-26  1.076200E-26  9.993451E-01
  2.954500E+02  1.051896E-26  1.052400E-26  9.995212E-01
  2.992100E+02  1.027498E-26  1.028000E-26  9.995114E-01
  3.030100E+02  1.004893E-26  1.005200E-26  9.996943E-01
  3.068600E+02  9.821343E-27  9.824700E-27  9.996583E-01
  3.107600E+02  9.598970E-27  9.603200E-27  9.995596E-01
  3.147000E+02  9.382363E-27  9.386000E-27  9.996125E-01
  3.187000E+02  9.171157E-27  9.174500E-27  9.996356E-01
  3.227500E+02  8.964406E-27  8.966900E-27  9.997219E-01
