# MRN (1977) model SED (this work), Mathis ISRF U =  1.00
# graphite + silicate spheres, dn/da = A_i a^-3.5, 0.005 - 0.25 um, Mie on the D03 dielectric functions
# normalization: Draine & Lee (1984), log10 A = -25.16 (graphite), -25.11 (silicate) [cm^2.5/H]
# solver = heuristic
# columns: lambda[um]  lamI_total/NH  lamI_GRA/NH  lamI_SIL/NH
#          [erg s^-1 cm^-2 sr^-1 H^-1]
  1.288000E+00  6.05570866E-080  6.05570866E-080  1.49026758E-101
  1.303000E+00  2.10735774E-079  2.10735774E-079  8.08027629E-101
  1.318000E+00  7.14358129E-079  7.14358129E-079  4.22700262E-100
  1.334000E+00  2.55389892E-078  2.55389892E-078  2.37685336E-099
  1.349000E+00  8.21837254E-078  8.21837254E-078  1.15917476E-098
  1.365000E+00  2.78431689E-077  2.78431689E-077  6.06469856E-098
  1.380000E+00  8.53357234E-077  8.53357234E-077  2.77113178E-097
  1.396000E+00  2.75031136E-076  2.75031136E-076  1.35577796E-096
  1.413000E+00  9.28155369E-076  9.28155369E-076  7.06680234E-096
  1.429000E+00  2.84496221E-075  2.84496221E-075  3.23538603E-095
  1.445000E+00  8.52116863E-075  8.52116863E-075  1.43676216E-094
  1.462000E+00  2.66774679E-074  2.66774679E-074  6.78098966E-094
  1.479000E+00  8.15634122E-074  8.15634122E-074  3.09919729E-093
  1.496000E+00  2.43589286E-073  2.43589286E-073  1.37320315E-092
  1.514000E+00  7.56951110E-073  7.56951110E-073  6.42785573E-092
  1.531000E+00  2.15961386E-072  2.15961386E-072  2.68045289E-091
  1.549000E+00  6.40509644E-072  6.40509644E-072  1.17916469E-090
  1.567000E+00  1.85814045E-071  1.85814045E-071  5.03142430E-090
  1.585000E+00  5.27410567E-071  5.27410567E-071  2.08470174E-089
  1.603000E+00  1.46578166E-070  1.46578166E-070  8.39543574E-089
  1.622000E+00  4.21781698E-070  4.21781698E-070  3.54551148E-088
  1.641000E+00  1.18752429E-069  1.18752429E-069  1.45349839E-087
  1.660000E+00  3.27394257E-069  3.27394257E-069  5.79010400E-087
  1.679000E+00  8.84506107E-069  8.84506107E-069  2.24329100E-086
  1.698000E+00  2.34339716E-068  2.34339716E-068  8.45993405E-086
  1.718000E+00  6.40341407E-068  6.40341407E-068  3.32602648E-085
  1.738000E+00  1.71478255E-067  1.71478255E-067  1.27145547E-084
  1.758000E+00  4.50331068E-067  4.50331068E-067  4.73018406E-084
  1.778000E+00  1.16069487E-066  1.16069487E-066  1.71435211E-083
  1.799000E+00  3.07643460E-066  3.07643460E-066  6.44941893E-083
  1.820000E+00  7.99640126E-066  7.99640126E-066  2.36113388E-082
  1.841000E+00  2.03946545E-065  2.03946545E-065  8.41929801E-082
  1.862000E+00  5.10685777E-065  5.10685777E-065  2.92648611E-081
  1.884000E+00  1.31055688E-064  1.31055688E-064  1.05116067E-080
  1.906000E+00  3.29979012E-064  3.29979012E-064  3.67777099E-080
  1.928000E+00  8.16102696E-064  8.16102696E-064  1.25455891E-079
  1.950000E+00  1.98242035E-063  1.98242035E-063  4.17545070E-079
  1.972000E+00  4.73179886E-063  4.73179886E-063  1.35691123E-078
  1.995000E+00  1.15370976E-062  1.15370976E-062  4.53866875E-078
  2.018000E+00  2.76228363E-062  2.76228363E-062  1.48139813E-077
  2.042000E+00  6.74105833E-062  6.74105833E-062  4.96332178E-077
  2.065000E+00  1.55737841E-061  1.55737841E-061  1.54454076E-076
  2.089000E+00  3.66559295E-061  3.66559295E-061  4.93108231E-076
  2.114000E+00  8.77349549E-061  8.77349549E-061  1.61155111E-075
  2.138000E+00  1.99252347E-060  1.99252347E-060  4.90867379E-075
  2.163000E+00  4.59961710E-060  4.59961710E-060  1.53001054E-074
  2.188000E+00  1.04309455E-059  1.04309455E-059  4.65958182E-074
  2.213000E+00  2.32512036E-059  2.32512036E-059  1.38739028E-073
  2.239000E+00  5.25748105E-059  5.25748105E-059  4.21624583E-073
  2.265000E+00  1.16823827E-058  1.16823827E-058  1.25234221E-072
  2.291000E+00  2.55248260E-058  2.55248260E-058  3.63826371E-072
  2.317000E+00  5.48489213E-058  5.48489213E-058  1.03446941E-071
  2.344000E+00  1.19323725E-057  1.19323725E-057  2.99501120E-071
  2.371000E+00  2.55238917E-057  2.55238917E-057  8.48387418E-071
  2.399000E+00  5.51928337E-057  5.51928337E-057  2.44244350E-070
  2.427000E+00  1.17338316E-056  1.17338316E-056  6.87812840E-070
  2.455000E+00  2.45530660E-056  2.45530660E-056  1.89605401E-069
  2.483000E+00  5.05584677E-056  5.05584677E-056  5.11950515E-069
  2.512000E+00  1.05061791E-055  1.05061791E-055  1.40238535E-068
  2.541000E+00  2.14831715E-055  2.14831715E-055  3.76202683E-068
  2.570000E+00  4.32495125E-055  4.32495125E-055  9.88944384E-068
  2.600000E+00  8.77911602E-055  8.77911602E-055  2.63280242E-067
  2.630000E+00  1.75445873E-054  1.75445873E-054  6.86783256E-067
  2.661000E+00  3.53166046E-054  3.53166046E-054  1.81177352E-066
  2.691000E+00  6.84825881E-054  6.84825881E-054  4.54324553E-066
  2.723000E+00  1.36653182E-053  1.36653182E-053  1.18685511E-065
  2.754000E+00  2.62954649E-053  2.62954649E-053  2.95097173E-065
  2.786000E+00  5.09450401E-053  5.09450401E-053  7.41236772E-065
  2.818000E+00  9.72921962E-053  9.72921962E-053  1.82672265E-064
  2.851000E+00  1.86861688E-052  1.86861688E-052  4.54194089E-064
  2.884000E+00  3.53819170E-052  3.53819170E-052  1.10808537E-063
