# THEMIS (Jones et al. 2013 / Koehler et al. 2014) model SED (this work), Mathis ISRF U =  1.00
# solver = heuristic
# columns: lambda[um]  lamI_total/NH  lamI_CM20/NH  lamI_CM20/NH  lamI_aPyM5/NH  lamI_aOlM5/NH
#          [erg s^-1 cm^-2 sr^-1 H^-1]
  1.668800E+00  4.51211242E-027  4.51211223E-027  1.92865878E-034  1.07527103E-040  1.13540245E-040
  1.696200E+00  4.57230173E-027  4.57230153E-027  2.05271493E-034  1.61616438E-040  1.70612399E-040
  1.724000E+00  4.64332083E-027  4.64332061E-027  2.18848010E-034  2.41094171E-040  2.54470273E-040
  1.752400E+00  4.70586605E-027  4.70586582E-027  2.33094477E-034  3.57513674E-040  3.77276417E-040
  1.781100E+00  4.77543138E-027  4.77543113E-027  2.48443233E-034  5.25376301E-040  5.54318323E-040
  1.810400E+00  4.83938917E-027  4.83938891E-027  2.64623171E-034  7.67541603E-040  8.09686740E-040
  1.840100E+00  4.90666874E-027  4.90666845E-027  2.81904736E-034  1.11259226E-039  1.17349615E-039
  1.870400E+00  4.97123456E-027  4.97123426E-027  3.00212512E-034  1.60349484E-039  1.69101744E-039
  1.901100E+00  5.03496025E-027  5.03495993E-027  3.19540804E-034  2.29255528E-039  2.41734716E-039
  1.932300E+00  5.09955794E-027  5.09955760E-027  3.40057842E-034  3.25580982E-039  3.43272466E-039
  1.964100E+00  5.15941227E-027  5.15941191E-027  3.61611302E-034  4.59668095E-039  4.84565787E-039
  1.996300E+00  5.22337418E-027  5.22337380E-027  3.84560944E-034  6.44116932E-039  6.78957670E-039
  2.029100E+00  5.27883251E-027  5.27883210E-027  4.08412410E-034  8.97025895E-039  9.45447311E-039
  2.062400E+00  5.34238749E-027  5.34238706E-027  4.34046286E-034  1.24164292E-038  1.30854073E-038
  2.096300E+00  5.39546798E-027  5.39546752E-027  4.60565895E-034  1.70777899E-038  1.79963058E-038
  2.130700E+00  5.45637164E-027  5.45637115E-027  4.88988902E-034  2.33463066E-038  2.46012398E-038
  2.165700E+00  5.50950584E-027  5.50950532E-027  5.18525497E-034  3.17204260E-038  3.34212454E-038
  2.201300E+00  5.56670892E-027  5.56670837E-027  5.50003205E-034  4.28630155E-038  4.51608191E-038
  2.237500E+00  5.61991004E-027  5.61990946E-027  5.82983398E-034  5.75805064E-038  6.06637661E-038
  2.274200E+00  5.67405995E-027  5.67405933E-027  6.17775552E-034  7.68528709E-038  8.09639847E-038
  2.311600E+00  5.72909897E-027  5.72909831E-027  6.54625149E-034  1.02078491E-037  1.07534342E-037
  2.349600E+00  5.78152546E-027  5.78152477E-027  6.93346338E-034  1.34786956E-037  1.41994961E-037
  2.388100E+00  5.84000653E-027  5.84000579E-027  7.34545070E-034  1.76910028E-037  1.86352730E-037
  2.427400E+00  5.89258263E-027  5.89258185E-027  7.77781085E-034  2.31106815E-037  2.43453526E-037
  2.467200E+00  5.95773249E-027  5.95773166E-027  8.24232515E-034  3.00185303E-037  3.16240812E-037
  2.507800E+00  6.01473468E-027  6.01473381E-027  8.72836561E-034  3.88020074E-037  4.08770879E-037
  2.549000E+00  6.08988368E-027  6.08988275E-027  9.25467377E-034  4.99135085E-037  5.25787069E-037
  2.590800E+00  6.16007232E-027  6.16007134E-027  9.80531752E-034  6.38146833E-037  6.72278073E-037
  2.633400E+00  6.24874592E-027  6.24874487E-027  1.04014290E-033  8.12824237E-037  8.56309248E-037
  2.676600E+00  6.34291057E-027  6.34290947E-027  1.10320723E-033  1.02928889E-036  1.08447112E-036
  2.720600E+00  6.45704788E-027  6.45704670E-027  1.17117403E-033  1.29810805E-036  1.36773716E-036
  2.765300E+00  6.59713400E-027  6.59713275E-027  1.24403978E-033  1.62927477E-036  1.71672468E-036
  2.810700E+00  6.76029739E-027  6.76029606E-027  1.32212827E-033  2.03511279E-036  2.14444738E-036
