# THEMIS (Jones et al. 2013 / Koehler et al. 2014) model SED (this work), Mathis ISRF U =  1.00
# solver = heuristic
# columns: lambda[um]  lamI_total/NH  lamI_CM20_plaw-ed/NH  lamI_CM20_logn/NH  lamI_aPyM5/NH  lamI_aOlM5/NH
#          [erg s^-1 cm^-2 sr^-1 H^-1]
  6.381600E-01  2.80511872E-027  2.80511872E-027  3.52263214E-036  3.78570494E-056  4.13111258E-056
  6.486400E-01  2.89026444E-027  2.89026444E-027  3.98850892E-036  8.58927279E-056  9.37025102E-056
  6.593000E-01  2.98279552E-027  2.98279552E-027  4.51003259E-036  1.92540999E-055  2.09984538E-055
  6.701300E-01  3.06153831E-027  3.06153831E-027  5.07126340E-036  4.25537798E-055  4.63974603E-055
  6.811300E-01  3.14761623E-027  3.14761623E-027  5.69453831E-036  9.28548693E-055  1.01215210E-054
  6.923200E-01  3.22094267E-027  3.22094266E-027  6.36361116E-036  2.00093970E-054  2.18063744E-054
  7.036900E-01  3.29698933E-027  3.29698932E-027  7.09624678E-036  4.25936554E-054  4.64099527E-054
  7.152500E-01  3.36386331E-027  3.36386330E-027  7.88165206E-036  8.95732110E-054  9.75817512E-054
  7.270000E-01  3.42847879E-027  3.42847878E-027  8.73036631E-036  1.86183313E-053  2.02780763E-053
  7.389400E-01  3.48820066E-027  3.48820065E-027  9.64041381E-036  3.82473820E-053  4.16509216E-053
  7.510800E-01  3.54041506E-027  3.54041505E-027  1.06085305E-035  7.77029716E-053  8.46063970E-053
  7.634200E-01  3.59268438E-027  3.59268436E-027  1.16495386E-035  1.56213568E-052  1.70063705E-052
  7.759600E-01  3.63208330E-027  3.63208329E-027  1.27385276E-035  3.10595912E-052  3.38111496E-052
  7.887000E-01  3.67649172E-027  3.67649171E-027  1.39125066E-035  6.11587332E-052  6.65660933E-052
  8.016600E-01  3.70388454E-027  3.70388452E-027  1.51229333E-035  1.19277658E-051  1.29815532E-051
  8.148300E-01  3.73990834E-027  3.73990832E-027  1.64318848E-035  2.30703448E-051  2.51041249E-051
  8.282100E-01  3.75929632E-027  3.75929630E-027  1.77712461E-035  4.42118614E-051  4.81025319E-051
  8.418100E-01  3.78317644E-027  3.78317642E-027  1.91991149E-035  8.41304609E-051  9.15130157E-051
  8.556400E-01  3.79584676E-027  3.79584674E-027  2.06672760E-035  1.58996325E-050  1.72911600E-050
  8.697000E-01  3.80821724E-027  3.80821721E-027  2.22083383E-035  2.98779226E-050  3.24841142E-050
  8.839800E-01  3.81494974E-027  3.81494972E-027  2.37995390E-035  5.58341113E-050  6.06840528E-050
  8.985000E-01  3.81694791E-027  3.81694788E-027  2.54422684E-035  1.03921776E-049  1.12901537E-049
