# Guillet et al. (2018) Model D model SED (this work), Mathis ISRF U =  1.00
# solver = heuristic
# columns: lambda[um]  lamI_total/NH  lamI_PAH0_MC10/NH  lamI_amCBE_0.3333x/NH  lamI_aSil2001BE6pctG_0.4x/NH
#          [erg s^-1 cm^-2 sr^-1 H^-1]
  7.152500E-01  5.77862483E-029  5.77862483E-029  3.95724525E-082  1.64740026E-108
  7.270000E-01  6.19260143E-029  6.19260143E-029  2.42499280E-081  2.14717117E-107
  7.389400E-01  6.63409395E-029  6.63409395E-029  1.45226411E-080  2.68566774E-106
  7.510800E-01  7.10624468E-029  7.10624468E-029  8.51849246E-080  3.23124732E-105
  7.634200E-01  7.61017996E-029  7.61017996E-029  4.89824823E-079  3.74080453E-104
  7.759600E-01  8.14425271E-029  8.14425271E-029  2.76283507E-078  4.16816674E-103
  7.887000E-01  8.71116884E-029  8.71116884E-029  1.52942588E-077  4.47133038E-102
  8.016600E-01  9.31384634E-029  9.31384634E-029  8.33397189E-077  4.63607744E-101
  8.148300E-01  9.95189643E-029  9.95189643E-029  4.46415978E-076  4.63810681E-100
  8.282100E-01  1.06243927E-028  1.06243927E-028  2.35129607E-075  4.47984794E-099
  8.418100E-01  1.13349327E-028  1.13349327E-028  1.21896675E-074  4.18636419E-098
  8.556400E-01  1.20865579E-028  1.20865579E-028  6.22443953E-074  3.79264092E-097
  8.697000E-01  1.28764774E-028  1.28764774E-028  3.12831872E-073  3.33219562E-096
  8.839800E-01  1.37068086E-028  1.37068086E-028  1.54905899E-072  2.84241807E-095
  8.985000E-01  1.45812874E-028  1.45812874E-028  7.54713431E-072  2.35765762E-094
  9.132600E-01  1.54987350E-028  1.54987350E-028  3.61334234E-071  1.90215631E-093
  9.282600E-01  1.64581196E-028  1.64581196E-028  1.69828240E-070  1.49346673E-092
  9.435100E-01  1.74636839E-028  1.74636839E-028  7.83608604E-070  1.14307941E-091
  9.590100E-01  1.85169076E-028  1.85169076E-028  3.54982168E-069  8.53753966E-091
  9.747600E-01  1.96177840E-028  1.96177840E-028  1.57719846E-068  6.22295017E-090
  9.907700E-01  2.07666379E-028  2.07666379E-028  6.86887360E-068  4.43039646E-089
  1.007000E+00  2.19624856E-028  2.19624856E-028  2.92006586E-067  3.06664536E-088
  1.023600E+00  2.32183906E-028  2.32183906E-028  1.22703075E-066  2.09997402E-087
  1.040400E+00  2.45211153E-028  2.45211153E-028  5.01973566E-066  1.39446268E-086
  1.057500E+00  2.58791351E-028  2.58791351E-028  2.01654338E-065  9.08229864E-086
  1.074900E+00  2.72921680E-028  2.72921680E-028  7.94538707E-065  5.79534867E-085
  1.092500E+00  2.87499689E-028  2.87499689E-028  3.04639928E-064  3.58382508E-084
  1.110500E+00  3.02762186E-028  3.02762186E-028  1.15363553E-063  2.19112560E-083
  1.128700E+00  3.18435870E-028  3.18435870E-028  4.25029043E-063  1.29716586E-082
  1.147200E+00  3.34677927E-028  3.34677927E-028  1.53622738E-062  7.51182731E-082
  1.166100E+00  3.51647869E-028  3.51647869E-028  5.47757187E-062  4.28917847E-081
  1.185200E+00  3.69016697E-028  3.69016697E-028  1.90067066E-061  2.36922686E-080
  1.204700E+00  3.87070243E-028  3.87070243E-028  6.50231940E-061  1.28835062E-079
  1.224500E+00  4.05717475E-028  4.05717475E-028  2.17883339E-060  6.83214938E-079
  1.244600E+00  4.24906633E-028  4.24906633E-028  7.15067627E-060  3.53244146E-078
  1.265100E+00  4.44763460E-028  4.44763460E-028  2.31206913E-059  1.79483455E-077
  1.285800E+00  4.64996830E-028  4.64996830E-028  7.28178309E-059  8.81935511E-077
  1.307000E+00  4.86035196E-028  4.86035196E-028  2.27138494E-058  4.28745282E-076
